"Date","Value"
"2017-01-18 11:33:34","131336"
"2017-01-18 11:03:27","131336"
"2017-01-18 09:52:40","144523"
"2017-01-18 09:21:43","144523"
"2017-01-18 08:34:06","144523"
"2017-01-18 07:42:55","144523"
"2017-01-18 06:55:41","144523"
"2017-01-18 06:23:13","144523"
"2017-01-18 05:19:16","144523"
"2017-01-18 04:49:17","144523"
"2017-01-18 03:59:43","144523"
"2017-01-18 03:05:58","144523"
"2017-01-18 02:18:38","144523"
"2017-01-18 01:47:13","144523"
"2017-01-18 00:37:37","141257"
"2017-01-18 00:07:53","141257"
"2017-01-17 23:20:24","141257"
"2017-01-17 22:29:25","141257"
"2017-01-17 21:44:36","135050"
"2017-01-17 21:13:15","135050"
"2017-01-17 20:01:33","135050"
"2017-01-17 19:27:45","135050"
"2017-01-17 18:34:39","135050"
"2017-01-17 17:43:14","135050"
"2017-01-17 16:55:06","135050"
"2017-01-17 16:23:56","141257"
"2017-01-17 15:14:07","141257"
"2017-01-17 14:44:03","141257"
"2017-01-17 14:01:24","141257"
"2017-01-17 13:11:39","141257"
"2017-01-17 12:25:49","141257"
"2017-01-17 11:55:42","141257"
"2017-01-17 10:43:45","141257"
"2017-01-17 10:13:46","141257"
"2017-01-17 09:25:13","141257"
"2017-01-17 08:34:13","141257"
"2017-01-17 07:43:42","141257"
"2017-01-17 07:12:40","141257"
"2017-01-17 06:14:55","141257"
"2017-01-17 05:46:11","141257"
"2017-01-17 04:54:54","141257"
"2017-01-17 04:03:36","141257"
"2017-01-17 03:14:20","141257"
"2017-01-17 02:41:57","141257"
"2017-01-17 01:33:10","141257"
"2017-01-17 01:03:37","141257"
"2017-01-17 00:12:39","141257"
"2017-01-16 23:20:28","141257"
"2017-01-16 22:34:42","141257"
"2017-01-16 22:04:52","141257"
"2017-01-16 20:53:02","141257"
"2017-01-16 20:20:22","141257"
"2017-01-16 19:32:17","141257"
"2017-01-16 18:41:24","141257"
"2017-01-16 17:50:21","141257"
"2017-01-16 17:20:18","141257"
"2017-01-16 16:11:19","141257"
"2017-01-16 15:39:11","141257"
"2017-01-16 14:53:50","141257"
"2017-01-16 14:00:23","141150"
"2017-01-16 13:12:07","141150"
"2017-01-16 12:39:51","141150"
"2017-01-16 11:29:59","141150"
"2017-01-16 11:00:26","141150"
"2017-01-16 10:13:50","141150"
"2017-01-16 09:22:35","141150"
"2017-01-16 08:36:41","141150"
"2017-01-16 08:07:32","141150"
"2017-01-16 07:05:37","141150"
"2017-01-16 06:33:21","141150"
"2017-01-16 05:44:09","141150"
"2017-01-16 04:55:07","141150"
"2017-01-16 04:04:10","141150"
"2017-01-16 03:31:02","141150"
"2017-01-16 02:26:30","141150"
"2017-01-16 02:00:00","141150"
"2017-01-16 00:16:33","141150"
"2017-01-16 00:00:00","141150"
"2017-01-15 22:00:00","141150"
"2017-01-15 20:34:28","141150"
"2017-01-15 19:45:18","141149"
"2017-01-15 19:00:00","141149"
"2017-01-15 17:09:15","141149"
"2017-01-15 16:38:23","141150"
"2017-01-15 15:50:30","141149"
"2017-01-15 15:00:00","141149"
"2017-01-15 13:38:56","141149"
"2017-01-15 13:00:00","141149"
"2017-01-15 11:10:40","141149"
"2017-01-15 10:19:11","141149"
"2017-01-15 09:31:29","141149"
"2017-01-15 08:57:55","141149"
"2017-01-15 08:00:00","141149"
"2017-01-15 06:34:00","141149"
"2017-01-15 05:43:53","141149"
"2017-01-15 05:00:00","141149"
"2017-01-15 03:11:05","141149"
"2017-01-15 02:38:56","141149"
"2017-01-15 01:51:26","141149"
"2017-01-15 01:00:00","141149"
"2017-01-14 23:42:04","141149"
"2017-01-14 23:00:00","141149"
"2017-01-14 21:16:20","141149"
"2017-01-14 20:25:04","141149"
"2017-01-14 20:00:00","141149"
"2017-01-14 18:00:00","141149"
"2017-01-14 16:43:45","141149"
"2017-01-14 16:00:00","141149"
"2017-01-14 14:33:39","141149"
"2017-01-14 13:24:53","141149"
"2017-01-14 13:00:00","141149"
"2017-01-14 11:10:36","141149"
"2017-01-14 10:23:38","141149"
"2017-01-14 09:50:57","141149"
"2017-01-14 09:00:00","141148"
"2017-01-14 07:26:50","141148"
"2017-01-14 06:37:57","141148"
"2017-01-14 06:00:00","141148"
"2017-01-14 04:08:05","141148"
"2017-01-14 03:37:23","141148"
"2017-01-14 02:48:24","141148"
"2017-01-14 02:00:00","141148"
"2017-01-14 00:39:37","141148"
"2017-01-14 00:00:00","141148"
"2017-01-13 22:13:22","141148"
"2017-01-13 21:23:09","141148"
"2017-01-13 21:00:00","141148"
"2017-01-13 19:00:00","141148"
"2017-01-13 17:38:27","141148"
"2017-01-13 16:47:13","141148"
"2017-01-13 16:00:00","141148"
"2017-01-13 14:17:48","141149"
"2017-01-13 14:00:00","141149"
"2017-01-13 12:09:08","141149"
"2017-01-13 11:19:40","141149"
